ticker,Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
NSE/ICICIBANK,2006-10-03,700.0,708.0,691.5,692.1,697.75,760505.0,5330.94
NSE/ICICIBANK,2006-10-04,675.6,698.0,675.6,693.55,695.05,711991.0,4938.19
NSE/ICICIBANK,2006-10-05,696.0,709.8,696.0,706.0,705.85,939896.0,6636.14
NSE/ICICIBANK,2006-10-06,700.0,708.9,700.0,701.0,702.45,822119.0,5792.6
NSE/ICICIBANK,2006-10-09,697.1,704.0,695.3,698.0,698.6,386519.0,2705.98
NSE/ICICIBANK,2006-10-10,699.1,701.95,692.35,697.4,695.5,394582.0,2748.96
NSE/ICICIBANK,2006-10-11,703.0,703.0,682.5,690.95,687.0,595200.0,4111.38
NSE/ICICIBANK,2006-10-12,689.0,693.4,672.3,692.0,690.4,563477.0,3859.41
NSE/ICICIBANK,2006-10-13,704.0,704.2,692.0,693.5,694.9,577061.0,4019.04
NSE/ICICIBANK,2006-10-16,703.5,722.7,694.3,719.0,720.3,1628702.0,11584.69
NSE/ICICIBANK,2006-10-17,724.5,729.45,713.0,725.15,726.3,1342097.0,9654.35
NSE/ICICIBANK,2006-10-18,720.0,746.85,720.0,744.9,744.55,1480325.0,10916.39
NSE/ICICIBANK,2006-10-19,747.0,747.0,735.15,739.0,741.75,552478.0,4082.74
NSE/ICICIBANK,2006-10-20,745.0,746.0,726.3,739.0,741.5,627916.0,4650.97
NSE/ICICIBANK,2006-10-21,743.9,746.0,732.55,736.15,739.3,50362.0,373.06
NSE/ICICIBANK,2006-10-23,740.0,741.7,719.0,721.8,720.55,492184.0,3576.43
NSE/ICICIBANK,2006-10-26,725.55,767.0,725.55,761.0,759.35,2449797.0,18354.22
NSE/ICICIBANK,2006-10-27,760.0,765.0,751.3,759.3,758.55,1323126.0,10029.35
NSE/ICICIBANK,2006-10-30,758.0,791.9,749.1,787.0,787.9,1743286.0,13537.82
NSE/ICICIBANK,2006-10-31,794.85,794.85,760.0,774.6,777.15,1605597.0,12555.84
